target,distractor1,distractor2,distractor3,symbol,response,selected,context,trial,block,condition,participant,response.new,num.array,category
red_2,blue_2,green_2,purple_2,s13,incorrect,green_2,c2,13,0,Mnemonic,ad,0,4,red
green_2,blue_2,red_2,purple_2,s9,correct,green_2,c2,14,0,Mnemonic,ad,1,4,green
green_3,blue_3,red_3,purple_3,s10,incorrect,purple_3,c3,15,0,Mnemonic,ad,0,4,green
purple_1,blue_1,green_1,red_1,s2,incorrect,green_1,c1,16,1,Mnemonic,ad,0,4,purple
red_4,blue_4,green_4,purple_4,s4,incorrect,blue_4,c4,17,1,Mnemonic,ad,0,4,red
green_4,blue_4,red_4,purple_4,s1,incorrect,blue_4,c4,18,1,Mnemonic,ad,0,4,green
blue_2,green_2,red_2,purple_2,s12,incorrect,purple_2,c2,19,1,Mnemonic,ad,0,4,blue
blue_4,green_4,red_4,purple_4,s1,incorrect,purple_4,c4,20,1,Mnemonic,ad,0,4,blue
blue_1,green_1,red_1,purple_1,s1,incorrect,purple_1,c1,21,1,Mnemonic,ad,0,4,blue
red_2,blue_2,green_2,purple_2,s13,correct,red_2,c2,22,1,Mnemonic,ad,1,4,red
purple_2,blue_2,green_2,red_2,s9,correct,purple_2,c2,23,1,Mnemonic,ad,1,4,purple
green_1,blue_1,red_1,purple_1,s5,incorrect,purple_1,c1,24,1,Mnemonic,ad,0,4,green
green_3,blue_3,red_3,purple_3,s16,correct,green_3,c3,25,1,Mnemonic,ad,1,4,green
purple_3,blue_3,green_3,red_3,s2,incorrect,green_3,c3,26,1,Mnemonic,ad,0,4,purple
purple_4,blue_4,green_4,red_4,s13,correct,purple_4,c4,27,1,Mnemonic,ad,1,4,purple
blue_3,green_3,red_3,purple_3,s1,incorrect,red_3,c3,28,1,Mnemonic,ad,0,4,blue
red_1,blue_1,green_1,purple_1,s1,incorrect,blue_1,c1,29,1,Mnemonic,ad,0,4,red
red_3,blue_3,green_3,purple_3,s8,incorrect,blue_3,c3,30,1,Mnemonic,ad,0,4,red
green_2,blue_2,red_2,purple_2,s1,incorrect,red_2,c2,31,1,Mnemonic,ad,0,4,green
blue_3,green_3,red_3,purple_3,s2,incorrect,purple_3,c3,32,2,Mnemonic,ad,0,4,blue
red_3,blue_3,green_3,purple_3,s4,incorrect,blue_3,c3,33,2,Mnemonic,ad,0,4,red
purple_1,blue_1,green_1,red_1,s16,incorrect,red_1,c1,34,2,Mnemonic,ad,0,4,purple
red_1,blue_1,green_1,purple_1,s3,incorrect,purple_1,c1,35,2,Mnemonic,ad,0,4,red
green_1,blue_1,red_1,purple_1,s13,incorrect,red_1,c1,36,2,Mnemonic,ad,0,4,green
